round,x_1,x_2,x_3,x_4,balance_error_kw,cost
1820,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1830,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1840,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1850,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1860,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1870,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1880,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1890,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1900,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1910,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1920,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1930,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1940,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1950,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1960,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1970,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1980,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1990,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
