round,x_1,x_2,x_3,x_4,x_5,x_6,balance_error_kw,cost
1480,332.3099105372995,82.0000000006581,238.49564413294777,177.19444533336446,59.9999999957021,259.99999999999983,-2.8194335754960775e-11,1355490.9020683144
1490,332.3099105373782,82.00000000056167,238.49564413246526,177.19444533325628,59.99999999631032,259.99999999999983,-2.8421709430404007e-11,1355490.902068058
1500,332.3099105374454,82.00000000047936,238.495644132051,177.19444533316334,59.99999999683247,259.99999999999983,-2.864908310584724e-11,1355490.902067838
1510,332.3099105375026,82.0000000004091,238.49564413169534,177.19444533308356,59.99999999728074,259.99999999999983,-2.887645678129047e-11,1355490.9020676492
1520,332.3099105375514,82.00000000034915,238.49564413138998,177.19444533301498,59.99999999766556,259.99999999999983,-2.9103830456733704e-11,1355490.9020674867
1530,332.309910537593,82.00000000029799,238.4956441311278,177.19444533295612,59.999999997995936,259.99999999999983,-2.9331204132176936e-11,1355490.9020673474
1540,332.3099105376285,82.00000000025433,238.49564413090272,177.19444533290553,59.999999998279534,259.99999999999983,-2.955857780762017e-11,1355490.9020672278
1550,332.3099105376587,82.00000000021706,238.49564413070945,177.19444533286207,59.99999999852301,259.99999999999983,-2.97859514830634e-11,1355490.9020671246
1560,332.3099105376845,82.00000000018525,238.49564413054352,177.1944453328248,59.99999999873203,259.99999999999983,-3.001332515850663e-11,1355490.9020670366
1570,332.30991053770657,82.00000000015811,238.49564413040105,177.19444533279275,59.99999999891147,259.99999999999983,-3.0240698833949864e-11,1355490.9020669607
1580,332.30991053772533,82.00000000013493,238.49564413027872,177.1944453327652,59.999999999065516,259.99999999999983,-3.0468072509393096e-11,1355490.9020668955
1590,332.30991053774125,82.00000000011516,238.49564413017373,177.19444533274157,59.99999999919776,259.99999999999983,-3.069544618483633e-11,1355490.9020668396
1600,332.30991053775483,82.0000000000983,238.4956441300836,177.19444533272124,59.999999999311285,259.99999999999983,-3.092281986027956e-11,1355490.9020667914
